pais,presidente,mandato_inicio,mandato_fim
Argentina,Fernando de la Rúa,1999,2001
Argentina,Adolfo Rodríguez Saá,2001,2001
Argentina,Eduardo Duhalde,2002,2003
Argentina,Néstor Kirchner,2003,2007
Argentina,Cristina Fernández de Kirchner,2007,2015
Argentina,Mauricio Macri,2015,2019
Argentina,Alberto Fernández,2019,2023
Argentina,Javier Milei,2023,2027
Bolivia,Hugo Banzer,1997,2001
Bolivia,Jorge Quiroga,2001,2002
Bolivia,Gonzalo Sánchez de Lozada,2002,2003
Bolivia,Carlos Mesa,2003,2005
Bolivia,Eduardo Rodríguez,2005,2006
Bolivia,Evo Morales,2006,2019
Bolivia,Jeanine Áñez,2019,2020
Bolivia,Luis Arce,2020,2025
Brazil,Fernando Henrique Cardoso,1995,2003
Brazil,Lula,2003,2011
Brazil,Dilma Rousseff,2011,2016
Brazil,Michel Temer,2016,2019
Brazil,Jair Bolsonaro,2019,2023
Brazil,Lula,2023,2026
Chile,Ricardo Lagos,2000,2006
Chile,Michelle Bachelet,2006,2010
Chile,Sebastián Piñera,2010,2014
Chile,Michelle Bachelet,2014,2018
Chile,Sebastián Piñera,2018,2022
Chile,Gabriel Boric,2022,2026
Colombia,Andrés Pastrana,1998,2002
Colombia,Álvaro Uribe,2002,2010
Colombia,Juan Manuel Santos,2010,2018
Colombia,Iván Duque,2018,2022
Colombia,Gustavo Petro,2022,2026
Ecuador,Gustavo Noboa,2000,2003
Ecuador,Lucio Gutiérrez,2003,2005
Ecuador,Alfredo Palacio,2005,2007
Ecuador,Rafael Correa,2007,2017
Ecuador,Lenín Moreno,2017,2021
Ecuador,Guillermo Lasso,2021,2023
Ecuador,Daniel Noboa,2023,2025
Guyana,Bharrat Jagdeo,1999,2011
Guyana,Donald Ramotar,2011,2015
Guyana,David Granger,2015,2020
Guyana,Irfaan Ali,2020,2025
Paraguay,Luis González Macchi,1999,2003
Paraguay,Nicanor Duarte,2003,2008
Paraguay,Fernando Lugo,2008,2012
Paraguay,Frederico Franco,2012,2013
Paraguay,Horacio Cartes,2013,2018
Paraguay,Mario Abdo Benítez,2018,2023
Paraguay,Santiago Peña,2023,2028
Peru,Valentín Paniagua,2000,2001
Peru,Alejandro Toledo,2001,2006
Peru,Alan García,2006,2011
Peru,Ollanta Humala,2011,2016
Peru,Pedro Pablo Kuczynski,2016,2018
Peru,Martín Vizcarra,2018,2020
Peru,Manuel Merino,2020,2020
Peru,Francisco Sagasti,2020,2021
Peru,Pedro Castillo,2021,2022
Peru,Dina Boluarte,2022,2026
Suriname,Ronald Venetiaan,2000,2010
Suriname,Dési Bouterse,2010,2020
Suriname,Chan Santokhi,2020,2025
Uruguay,Jorge Batlle,2000,2005
Uruguay,Tabaré Vázquez,2005,2010
Uruguay,José Mujica,2010,2015
Uruguay,Tabaré Vázquez,2015,2020
Uruguay,Luis Lacalle Pou,2020,2025
Venezuela,Hugo Chávez,1999,2013
Venezuela,Nicolás Maduro,2013,2025
